algorithm	small arr	big int	sorted	resorted	big arr
bubble_sort_r  0.000178  0.000006  0.002000  0.006597  0.102182
bubble_sort_f  0.000156  0.000005  0.000019  0.005072  0.101858
shuffle_sort  0.000155  0.000006  0.000037  0.005287  0.092375
selection_sort  0.000098  0.000004  0.001450  0.001659  0.040746
insertion_sort  0.000088  0.000004  0.000037  0.003517  0.050333
counting_sort_o  0.000033  0.142891  0.000105  0.000121  0.000590
counting_sort_r  0.000027  0.180754  0.000108  0.000107  0.000836
counting_sort_s  0.000025  0.277005  0.000110  0.000100  0.000495
heap_sort  0.000204  0.000012  0.001163  0.001150  0.009163
